Osteoarthritis Variant 60,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 61,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 62,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 63,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 64,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 65,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 66,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 67,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 68,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 69,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 70,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 71,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 72,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 73,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 74,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 75,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 76,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 77,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 78,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 79,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 80,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 81,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 82,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 83,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 84,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 85,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 86,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 87,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 88,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 89,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 90,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 91,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 92,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 93,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 94,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 95,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 96,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 97,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 98,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 99,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 100,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Disease,System,Medicine,Adult Dose,Child Dose,Tests,Warnings,Home Care
Loose Motion (Diarrhea),Gastrointestinal,"ORS, Zinc",ORS after each stool,ORS + Zinc syrup,"Stool exam, Electrolytes",Dehydration risk,"ORS, banana, rice"
Vomiting,Gastrointestinal,Ondansetron,4 mg SOS,0.15 mg/kg,"CBC, Electrolytes",Avoid dehydration,Small sips fluids
Common Cold,ENT,"Paracetamol, Cetirizine",650 mg,10 mg/kg,Clinical,Avoid overdose,Steam inhalation
Flu (Influenza),Respiratory,Oseltamivir,75 mg BD,Weight based,Rapid flu test,Complete course,"Rest, fluids"
Fever (Viral),General,Paracetamol,650 mg,10 mg/kg,CBC,No NSAIDs,Cold sponging
Cough,Respiratory,Dextromethorphan,10 ml,5 ml,Chest X-ray if chronic,Sedation,Honey (adult)
Acidity,Gastrointestinal,Pantoprazole,40 mg OD,20 mg,Clinical,Long-term caution,Avoid spicy food
Constipation,Gastrointestinal,Isabgol,2 tsp HS,1 tsp,Clinical,Fluid intake,Fiber diet
Food Poisoning,Infectious,"ORS, Ciprofloxacin",As advised,As advised,Stool culture,Hydration,Light diet
Sore Throat,ENT,Azithromycin,500 mg OD,10 mg/kg,Throat swab,Complete course,Warm saline gargle
